# theta, gamma_t
2.805046135754705627e+00 -1.060756878563320164e-05
3.531343861556119457e+00 -1.294315836417014199e-05
4.445698525095699516e+00 -1.441101840281938856e-05
5.596802846418014177e+00 -2.163695556094348655e-05
7.045957328156546851e+00 -2.040202878131680618e-05
8.870334730832327708e+00 -1.119445168947725872e-05
1.116708980376357552e+01 -8.683632471111017975e-06
1.405853312974346814e+01 -5.448333524834652769e-06
1.769864460958168095e+01 -5.420675455209647478e-06
2.228127345331300901e+01 -2.967649942660254853e-06
2.805046135750647807e+01 -1.508824132548490402e-06
3.531343861551010122e+01 -3.729346376279126270e-06
4.445698525089266440e+01 -8.738933327828729168e-06
5.596802846409915588e+01 -4.266855595540633742e-06
7.045957328146349141e+01 -3.327970685884528566e-06
8.870334730819496372e+01 -7.162827906359216996e-06
1.116708980374742026e+02 -6.512810577587338012e-06
1.405853312972313063e+02 -6.194715620589826813e-06
1.769864460955607228e+02 -9.258339793377707002e-06
2.228127345328078661e+02 -9.058059357322349815e-06
2.805046135746590039e+02 -5.680956145818274440e-06
3.531343861545901746e+02 9.930635926552377219e-07
4.445698525082834749e+02 2.627191617402817951e-06
5.596802846401818670e+02 1.034339789090666715e-05
7.045957328136156548e+02 9.720588708332400144e-06
8.870334730806664538e+02 1.912602527056651809e-07
