# theta, gammat_shot_noise
2.805046135754705627e+00 1.644103112646980377e-09
3.531343861556119457e+00 1.187613378364004210e-09
4.445698525095699516e+00 9.107458979297558541e-10
5.596802846418014177e+00 4.520710359566243285e-10
7.045957328156546851e+00 2.990089464074876608e-10
8.870334730832327708e+00 2.963122989531688575e-10
1.116708980376357552e+01 1.559486889911950511e-10
1.405853312974346814e+01 1.272030459616629944e-10
1.769864460958168095e+01 1.047727998570597179e-10
2.228127345331300901e+01 8.927545177744501326e-11
2.805046135750647807e+01 6.665674479574747792e-11
3.531343861551010122e+01 5.454871226303195247e-11
4.445698525089266440e+01 7.310230386412977828e-11
5.596802846409915588e+01 8.881649088647508994e-11
7.045957328146349141e+01 9.756438636331434191e-11
8.870334730819496372e+01 1.335917974869132221e-10
1.116708980374742026e+02 2.063967219856665503e-10
1.405853312972313063e+02 3.315281146197984986e-10
1.769864460955607228e+02 4.930880163041102561e-10
2.228127345328078661e+02 7.093600292512532199e-10
2.805046135746590039e+02 1.101443148100873183e-09
3.531343861545901746e+02 1.348537811934930697e-09
4.445698525082834749e+02 1.185719913169799874e-09
5.596802846401818670e+02 8.441226207510971236e-10
7.045957328136156548e+02 7.999975295126427469e-10
8.870334730806664538e+02 7.876436202840748922e-10
