# theta, gamma_x
2.805046135754705627e+00 5.214787349898361476e-05
3.531343861556119457e+00 -6.510557600228915386e-05
4.445698525095699516e+00 -1.649516109727291218e-05
5.596802846418014177e+00 3.651115358939388009e-07
7.045957328156546851e+00 7.796430685500158387e-06
8.870334730832327708e+00 1.223700932165307187e-05
1.116708980376357552e+01 -6.678555952898734339e-06
1.405853312974346814e+01 -1.498084687075592923e-05
1.769864460958168095e+01 5.047105869449377592e-06
2.228127345331300901e+01 7.794309200622744110e-06
2.805046135750647807e+01 4.101509487735664033e-06
3.531343861551010122e+01 8.646139185482509199e-06
4.445698525089266440e+01 5.800641805146901688e-06
5.596802846409915588e+01 3.140971538504373777e-06
7.045957328146349141e+01 -3.950808902173466246e-06
8.870334730819496372e+01 -3.051089593280103359e-06
1.116708980374742026e+02 9.055220140013117082e-07
1.405853312972313063e+02 -5.111599571323181753e-07
1.769864460955607228e+02 1.834231096557522472e-07
2.228127345328078661e+02 -7.330931054165509998e-07
2.805046135746590039e+02 -1.606939956507349350e-06
3.531343861545901746e+02 1.873245606249589869e-06
4.445698525082834749e+02 3.370689034193313677e-07
5.596802846401818670e+02 -2.175009909236842462e-06
7.045957328136156548e+02 -7.068216280660946708e-08
8.870334730806664538e+02 -2.358349846852296955e-06
