# theta, gamma_x
2.805046135754705627e+00 -2.608487128721452935e-05
3.531343861556119457e+00 -1.062653159045712362e-05
4.445698525095699516e+00 2.521095277667981542e-05
5.596802846418014177e+00 -1.612320182998135186e-05
7.045957328156546851e+00 2.277428327105211178e-06
8.870334730832327708e+00 1.109110750786549044e-05
1.116708980376357552e+01 -1.316449131333464414e-06
1.405853312974346814e+01 9.573796010754618540e-06
1.769864460958168095e+01 9.870305456235941517e-06
2.228127345331300901e+01 -6.322533572475189980e-06
2.805046135750647807e+01 -1.309874333164055618e-05
3.531343861551010122e+01 1.810880231450448592e-06
4.445698525089266440e+01 4.885844903923515601e-06
5.596802846409915588e+01 -2.652452019886289248e-06
7.045957328146349141e+01 -1.477119441294291769e-06
8.870334730819496372e+01 -1.506698965011234055e-06
1.116708980374742026e+02 2.379962821726134876e-06
1.405853312972313063e+02 2.617778293553530612e-06
1.769864460955607228e+02 4.765553132559502934e-07
2.228127345328078661e+02 -1.605496180125511896e-06
2.805046135746590039e+02 -1.137098343734384456e-06
3.531343861545901746e+02 -3.088758188547253928e-06
4.445698525082834749e+02 1.096881054447290277e-06
5.596802846401818670e+02 -1.275725339320844257e-06
7.045957328136156548e+02 -2.895497955406048484e-06
8.870334730806664538e+02 4.648977261853724693e-07
