# theta, gamma_x
2.805046135754705627e+00 1.368798087306141628e-05
3.531343861556119457e+00 -2.458786817023228189e-06
4.445698525095699516e+00 -1.087703372808047126e-05
5.596802846418014177e+00 -1.003621327535535883e-05
7.045957328156546851e+00 -1.427416310706669173e-06
8.870334730832327708e+00 -2.226375680147184952e-06
1.116708980376357552e+01 -1.931964563765149192e-06
1.405853312974346814e+01 -2.286585344078938906e-07
1.769864460958168095e+01 -5.373230326909638599e-06
2.228127345331300901e+01 -1.897571174751428856e-06
2.805046135750647807e+01 -1.106593734612387302e-06
3.531343861551010122e+01 3.198366728462687255e-06
4.445698525089266440e+01 3.896625734418169640e-06
5.596802846409915588e+01 2.109763915401755113e-06
7.045957328146349141e+01 -7.709904669721183724e-07
8.870334730819496372e+01 -4.075905966712708826e-06
1.116708980374742026e+02 -3.458885209308323020e-06
1.405853312972313063e+02 -2.548237706425569043e-06
1.769864460955607228e+02 -2.034821012868838934e-06
2.228127345328078661e+02 -2.256594028816055324e-06
2.805046135746590039e+02 -1.057578056340333881e-06
3.531343861545901746e+02 -4.045540754584788883e-06
4.445698525082834749e+02 -8.295169283926904201e-06
5.596802846401818670e+02 -7.057382015976301246e-06
7.045957328136156548e+02 -4.257590295844438229e-06
8.870334730806664538e+02 1.599599758591204300e-06
